benchmark_drop_fraction,benchmark_drop_percent,benchmark_metric_effective,benchmark_metric_requested,candidate_index,factorized_rank_memory_ratio,family,loss_degradation,lossless_pass,lossless_threshold_percent,nll,nominal_bits,nominal_keep_fraction,nominal_memory_ratio,nominal_memory_saving,nominal_rank_fraction,order,perplexity,ppl_degradation,predicted_hessian_cost,q_method,r_method,s_method,selected_parameter_count,strategy,tokens,zero_shot_accuracy,zero_shot_accuracy_degradation
0.42588226453555655,42.588226453555656,ppl,ppl,393,1.3255208333333333,qsr_stack,0.3547907551442546,False,1.0,4.241208053949311,3,0.8,0.14925000000000002,0.85075,0.995,qsr,69.49175093539623,20.755783973894445,122.2498228251934,rotated_rtn,whitened_svd,wanda,3145728,lossless_frontier,254,nan,nan
0.49572865407874717,49.572865407874716,ppl,ppl,394,1.3255208333333333,qsr_stack,0.4026134821373648,False,1.0,4.289030780942421,3,0.8,0.14925000000000002,0.85075,0.995,rqs,72.89578226855335,24.159815307051566,120.94560316205025,rotated_rtn,whitened_svd,wanda,3145728,lossless_frontier,254,nan,nan
0.31344242004635375,31.344242004635376,ppl,ppl,395,1.3255208333333333,qsr_stack,0.2726514921413634,False,1.0,4.15906879094642,3,0.8,0.14925000000000002,0.85075,0.995,qsr,64.01188638921404,15.27591942771226,91.6645068526268,rtn,svd,magnitude,3145728,lossless_frontier,254,nan,nan
0.20604548281361615,20.604548281361616,ppl,ppl,396,1.3255208333333333,qsr_stack,0.18734681136964815,False,1.0,4.073764110174705,3,0.8,0.14925000000000002,0.85075,0.995,rqs,58.77779280447286,10.041825842971079,92.60737442970276,rtn,svd,magnitude,3145728,lossless_frontier,254,nan,nan
0.22106566346026854,22.106566346026852,ppl,ppl,397,1.3255208333333333,qsr_stack,0.19972397211029813,False,1.0,4.086141270915355,3,0.8,0.14925000000000002,0.85075,0.995,qsr,59.5098158322239,10.77384887072212,90.67171823978424,rtn,whitened_svd,magnitude,3145728,lossless_frontier,254,nan,nan
0.20956961254429854,20.956961254429853,ppl,ppl,398,1.3255208333333333,qsr_stack,0.19026460422305602,False,1.0,4.0766819030281125,3,0.8,0.14925000000000002,0.85075,0.995,rqs,58.949544674595444,10.213577713093663,90.33922016620636,rtn,whitened_svd,magnitude,3145728,lossless_frontier,254,nan,nan
0.31344242004635375,31.344242004635376,ppl,ppl,399,1.3255208333333333,qsr_stack,0.2726514921413634,False,1.0,4.15906879094642,3,0.8,0.14925000000000002,0.85075,0.995,qsr,64.01188638921404,15.27591942771226,91.6645068526268,rtn,svd,wanda,3145728,lossless_frontier,254,nan,nan
0.20604548281361615,20.604548281361616,ppl,ppl,400,1.3255208333333333,qsr_stack,0.18734681136964815,False,1.0,4.073764110174705,3,0.8,0.14925000000000002,0.85075,0.995,rqs,58.77779280447286,10.041825842971079,92.60737442970276,rtn,svd,wanda,3145728,lossless_frontier,254,nan,nan
0.22106566346026854,22.106566346026852,ppl,ppl,401,1.3255208333333333,qsr_stack,0.19972397211029813,False,1.0,4.086141270915355,3,0.8,0.14925000000000002,0.85075,0.995,qsr,59.5098158322239,10.77384887072212,90.67171823978424,rtn,whitened_svd,wanda,3145728,lossless_frontier,254,nan,nan
0.20956961254429854,20.956961254429853,ppl,ppl,402,1.3255208333333333,qsr_stack,0.19026460422305602,False,1.0,4.0766819030281125,3,0.8,0.14925000000000002,0.85075,0.995,rqs,58.949544674595444,10.213577713093663,90.33922016620636,rtn,whitened_svd,wanda,3145728,lossless_frontier,254,nan,nan
