adapter_module,budget_per_module,cols,effective_rank,frobenius_norm,in_channel_max_over_median,in_channel_outlier_count,in_channel_top1pct_energy_frac,method,out_channel_max_over_median,out_channel_outlier_count,out_channel_top1pct_energy_frac,params,participation_ratio,rank,rank_90,rank_95,rank_99,requested_rank,rows,sigma_max,sigma_min_positive,spectral_entropy,stable_rank,task_condition,top_10_energy,top_1_energy
model.layers.27.mlp.down_proj,65536,8960,1.3736646326009363,0.15655635531673348,4.1882771603086155,0,0.06418570504452839,lora,3.8866638899075725,0,0.05754812961724625,13762560,1.1698672120665514,1536,1,2,3,16,1536,0.15033946931362152,4.185785371646489e-07,0.04327174768777221,1.0844146565779507,natural,0.9999949714354651,0.9221564776297518
model.layers.0.mlp.down_proj,65536,8960,1.098233862763419,0.44660922248726703,2.0479869693617805,0,0.03171211215718893,lora,2.5300626408621016,0,0.04096724888367301,13762560,1.0314150426496271,1536,1,1,2,4,1536,0.443156361579895,7.494627425330691e-07,0.012771448259217333,1.0156437443863497,structured,0.9999972968332953,0.9845972128782207
model.layers.14.mlp.down_proj,65536,8960,1.0407672462617676,0.6914606367589935,1.8898712361709404,0,0.02860045916450594,lora,1.8675661463103552,0,0.029568552686835777,13762560,1.0117089795069958,1536,1,1,1,4,1536,0.689447820186615,1.40049257879582e-06,0.005446166216145037,1.0058474468521117,structured,0.9999973026402714,0.9941865470053021
model.layers.27.mlp.down_proj,65536,8960,1.0313182418286024,1.0203531566504191,1.7842935092616856,0,0.027512343031301793,lora,1.2474381599087154,0,0.018483719970724854,13762560,1.008462800852131,1536,1,1,1,4,1536,1.018203616142273,1.4800212966292747e-06,0.004206462515362001,1.0042266781083322,structured,0.9999975352018635,0.9957911115085151
model.layers.0.mlp.down_proj,65536,8960,1.8878450750019002,0.3278193215618746,2.103154205643511,0,0.02892596614966548,lora,2.10737025715808,0,0.0345616719249755,13762560,1.5405397118455486,1536,2,2,3,8,1536,0.2902594804763794,1.8603163880470674e-06,0.08660780569574723,1.2755464168763175,structured,0.9999949138950768,0.783977742220387
model.layers.14.mlp.down_proj,65536,8960,1.0475617117754594,0.7118238480445431,1.7702232165817129,0,0.026267968833180864,lora,1.8156794392463387,0,0.028498412814126853,13762560,1.0132161225903853,1536,1,1,1,8,1536,0.709488034248352,1.694067805146915e-06,0.006333063104506061,1.006595344044508,structured,0.999994853456471,0.9934478695102962
model.layers.27.mlp.down_proj,65536,8960,1.0723416428188242,0.9803134118443544,1.7866403091776504,0,0.026856291146299442,lora,1.2529073372045547,0,0.018678235018491716,13762560,1.0229884588467242,1536,1,1,2,8,1536,0.9747384786605835,5.78170147491619e-06,0.00951960053036259,1.0114715402796282,structured,0.9999950699866756,0.9886585634663959
model.layers.0.mlp.down_proj,65536,8960,1.0607680447005472,0.4572581668974741,1.900837723598251,0,0.02848359801419458,lora,2.3310245716122013,0,0.039034238436788826,13762560,1.0173331454479477,1536,1,1,1,16,1536,0.45529448986053467,5.484642997544142e-07,0.008040578366091684,1.0086445662437493,structured,0.9999949499680967,0.9914295218225958
model.layers.14.mlp.down_proj,65536,8960,1.0366158071114757,0.7241367460008811,1.7253740394634214,0,0.025721027432379286,lora,1.8076361004928099,0,0.028818311591164762,13762560,1.0106143157174983,1536,1,1,1,16,1536,0.7222239971160889,1.2160670621597092e-06,0.004901415410586576,1.0053038441505187,structured,0.999994864089255,0.9947241381982375
model.layers.27.mlp.down_proj,65536,8960,1.0544150429175507,0.9936289295798191,1.7757609884763137,0,0.02614457024451286,lora,1.2554474028137093,0,0.01868087760921514,13762560,1.017491245859412,1536,1,1,1,16,1536,0.98931485414505,3.219483460270567e-06,0.007221835500423227,1.008740355097159,structured,0.9999950739550543,0.99133537678651
model.layers.0.mlp.down_proj,131072,8960,2.714262822535841,0.06765287954633101,2.9069747239497103,0,0.04402974496208948,lora,2.3860884594889953,0,0.03928965773730832,13762560,2.286538725019852,1536,3,3,4,4,1536,0.05158959701657295,2.6463774815965735e-07,0.13609499550247453,1.7196826194478574,natural,0.9999973120033875,0.5815026497860822
model.layers.14.mlp.down_proj,131072,8960,1.03295265511408,0.3220444740494825,2.574627565318224,0,0.04095333572765733,lora,2.7206261270237313,0,0.04241686328262819,13762560,1.0090891157665856,1536,1,1,1,4,1536,0.3213158845901489,1.4104665524428128e-07,0.004418922644735479,1.004540177059816,natural,0.9999973309349732,0.9954803429832896
model.layers.27.mlp.down_proj,131072,8960,1.460789168332725,0.16280898953866482,4.403222059644298,0,0.06754260876424584,lora,3.2411052272892866,0,0.055389406992472,13762560,1.2282187645806995,1536,2,2,3,4,1536,0.15428343415260315,3.659076526218996e-07,0.05165327443879158,1.1135716541810403,natural,0.9999973313665568,0.8980113639255977
model.layers.0.mlp.down_proj,131072,8960,1.8534137239547863,0.06351791484622772,3.6126345709624825,0,0.054330573975132364,lora,3.635532954500476,0,0.05679104049075349,13762560,1.3900866907363796,1536,2,3,6,8,1536,0.05824413523077965,3.1737411632093426e-07,0.08409901872475684,1.1892908082993185,natural,0.9999972983939094,0.8408372393207985
