comfort_tolerance,deployable,epsilon,hessian_cost,nll,nll_delta,normalized_hessian_cost,path_kind,payload_ratio_at_codec_endpoint,perplexity,perplexity_delta,strategy,target_ratio,taylor_fit_absolute_error,taylor_fit_nll_delta,tokens,within_local_comfort_fit
0.009275604608490617,False,0.75,13.45110061392188,4.314010424876776,0.04637802304245309,0.002606142001577391,noncodec_interpolation,0.25732421875,74.73962636217875,3.3871249363477034,Q+L,0.258,0.00047099496432977117,0.045907028078123316,2032,True
0.013328176783764434,False,0.875,18.30844250228256,4.334273285753145,0.06664088391882217,0.003547248835480338,noncodec_interpolation,0.25732421875,76.26951260399497,4.917011178163918,Q+L,0.258,0.001652223675652903,0.06498866024316927,2032,True
0.01810744278074239,True,1.0,23.913067758083344,4.358169615738035,0.09053721390371194,0.004633141336137584,codec_endpoint,0.25732421875,78.11402480859789,6.761523382766839,Q+L,0.258,0.0032010755472989816,0.08733613835641296,2032,True
0.0001,False,0.0,0.0,4.267632401834323,0.0,0.0,noncodec_interpolation,0.2557992935180664,71.35250142583105,0.0,Q+S+L_QL_budget_component_scale,0.258,0.0,0.0,2032,True
0.0001,False,0.03125,0.025561159622156993,4.267433572003222,-0.00019882983110086627,4.9524580636457276e-06,noncodec_interpolation,0.2557992935180664,71.33831583033044,-0.014185595500606496,Q+S+L_QL_budget_component_scale,0.258,1.0735800278823134e-06,-0.00019775625107298396,2032,True
0.0001,False,0.0625,0.10224463848862797,4.267427940068282,-0.00020446176604060895,1.980983225458291e-05,noncodec_interpolation,0.2557992935180664,71.33791405870835,-0.014587367122700812,Q+S+L_QL_budget_component_scale,0.258,1.1888832981140707e-06,-0.00020565064933872302,2032,True
0.0001,False,0.09375,0.23005043659941293,4.267608207041823,-2.4194792500153994e-05,4.4572122572811546e-05,noncodec_interpolation,0.2557992935180664,71.35077508774897,-0.0017263380820793373,Q+S+L_QL_budget_component_scale,0.258,5.115977029367547e-07,-2.368319479721724e-05,2032,True
0.0001,False,0.125,0.4089785539545119,4.26798060559851,0.0003482037641866498,7.923932901833164e-05,noncodec_interpolation,0.2557992935180664,71.37735096151151,0.024849535680459667,Q+S+L_QL_budget_component_scale,0.258,5.765163511623102e-08,0.00034814611255153355,2032,True
0.00034320560965941385,False,0.1875,0.9202017463976517,4.26934842988262,0.0017160280482970691,0.00017828849029124619,noncodec_interpolation,0.2557992935180664,71.47504943743373,0.12254801160267448,Q+S+L_QL_budget_component_scale,0.258,5.4637762626299526e-05,0.0016613902856707696,2032,True
0.0007686134398452893,False,0.25,1.6359142158180475,4.2714754690335495,0.0038430671992264465,0.00031695731607332656,noncodec_interpolation,0.2557992935180664,71.62724146772507,0.27474004189402024,Q+S+L_QL_budget_component_scale,0.258,0.00010898532920746102,0.0037340818700189854,2032,True
