block_size,compression_ratio_actual,compression_ratio_target,has_bias,in_features,layer,method,module_type,name,out_features,params_original,params_structured,rank,relative_weight_error,terms
16,16.0,4.0,False,8960,1,block_circulant,down_proj,model.layers.1.mlp.down_proj,1536,13762560,860160,0,0.9682545868153477,
64,35.0,4.0,False,8960,1,monarch_like,down_proj,model.layers.1.mlp.down_proj,1536,13762560,393216,64,0.9928349538563592,2
,8.044291485859643,8.0,False,8960,1,low_rank,down_proj,model.layers.1.mlp.down_proj,1536,13762560,1710848,163,0.878176143729693,
16,16.0,8.0,False,8960,1,block_circulant,down_proj,model.layers.1.mlp.down_proj,1536,13762560,860160,0,0.9682545868153477,
64,35.0,8.0,False,8960,1,monarch_like,down_proj,model.layers.1.mlp.down_proj,1536,13762560,393216,64,0.9928349538563592,2
,16.187895212285458,16.0,False,8960,1,low_rank,down_proj,model.layers.1.mlp.down_proj,1536,13762560,850176,81,0.9294194626300286,
16,16.0,16.0,False,8960,1,block_circulant,down_proj,model.layers.1.mlp.down_proj,1536,13762560,860160,0,0.9682545868153477,
64,35.0,16.0,False,8960,1,monarch_like,down_proj,model.layers.1.mlp.down_proj,1536,13762560,393216,64,0.9928349538563592,2
,2.0018618506795756,2.0,False,1536,1,low_rank,gate_proj,model.layers.1.mlp.gate_proj,8960,13762560,6874880,655,0.5819775976021228,
16,16.0,2.0,False,1536,1,block_circulant,gate_proj,model.layers.1.mlp.gate_proj,8960,13762560,860160,0,0.9682565502493067,
64,6.0,2.0,False,1536,1,monarch_like,gate_proj,model.layers.1.mlp.gate_proj,8960,13762560,2293760,64,0.9573790743813072,2
,4.009845603043186,4.0,False,1536,1,low_rank,gate_proj,model.layers.1.mlp.gate_proj,8960,13762560,3432192,327,0.7606043318010354,
16,16.0,4.0,False,1536,1,block_circulant,gate_proj,model.layers.1.mlp.gate_proj,8960,13762560,860160,0,0.9682565502493067,
64,6.0,4.0,False,1536,1,monarch_like,gate_proj,model.layers.1.mlp.gate_proj,8960,13762560,2293760,64,0.9573790743813072,2
,8.044291485859643,8.0,False,1536,1,low_rank,gate_proj,model.layers.1.mlp.gate_proj,8960,13762560,1710848,163,0.858964583164119,
16,16.0,8.0,False,1536,1,block_circulant,gate_proj,model.layers.1.mlp.gate_proj,8960,13762560,860160,0,0.9682565502493067,
64,8.0,8.0,False,1536,1,monarch_like,gate_proj,model.layers.1.mlp.gate_proj,8960,13762560,1720320,48,0.957883750912212,2
,16.187895212285458,16.0,False,1536,1,low_rank,gate_proj,model.layers.1.mlp.gate_proj,8960,13762560,850176,81,0.9147038297623249,
16,16.0,16.0,False,1536,1,block_circulant,gate_proj,model.layers.1.mlp.gate_proj,8960,13762560,860160,0,0.9682565502493067,
64,16.0,16.0,False,1536,1,monarch_like,gate_proj,model.layers.1.mlp.gate_proj,8960,13762560,860160,24,0.9660549786218503,2
,2.0131061598951505,2.0,True,1536,1,low_rank,k_proj,model.layers.1.self_attn.k_proj,256,393216,195328,109,0.45154280681600156,
16,16.0,2.0,True,1536,1,block_circulant,k_proj,model.layers.1.self_attn.k_proj,256,393216,24576,0,0.9680167506883552,
