compression_ratio_target,has_bias,in_channel_max_over_median,in_channel_outlier_count,in_channel_top1pct_energy_frac,in_features,layer,module_type,name,out_channel_max_over_median,out_channel_outlier_count,out_channel_top1pct_energy_frac,out_features,relative_weight_error_after_residual,residual_channels,residual_density_1e_6,residual_effective_rank,residual_fraction,residual_l1,residual_l2,residual_params,residual_rank,residual_rank_90,residual_rank_95,residual_rank_99,residual_top_1pct_l1_frac,residual_type
2.0,True,1.201862110344394,0,0.013418034359263814,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.3182527049402104,0,0.017464298839952135,1536,0.3353165031711811,0,0.9999135335286459,589.565913272517,0.02,18298.91029625066,15.283963492573804,47185,0,498,611,812,0.04012052803390644,sparse
2.0,True,1.201862110344394,0,0.013418034359263814,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.3182527049402104,0,0.017464298839952135,1536,0.36110471090142926,30,0.9999135335286459,589.565913272517,0.02,18298.91029625066,15.283963492573804,46080,0,498,611,812,0.04012052803390644,channel_out
2.0,True,1.201862110344394,0,0.013418034359263814,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.3182527049402104,0,0.017464298839952135,1536,0.367038703213404,0,0.9999135335286459,589.565913272517,0.04,18298.91029625066,15.283963492573804,0,0,498,611,812,0.04012052803390644,none
2.0,True,1.201862110344394,0,0.013418034359263814,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.3182527049402104,0,0.017464298839952135,1536,0.3452717048929771,0,0.9999135335286459,589.565913272517,0.04,18298.91029625066,15.283963492573804,92160,30,498,611,812,0.04012052803390644,low_rank
2.0,True,1.201862110344394,0,0.013418034359263814,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.3182527049402104,0,0.017464298839952135,1536,0.31407928887027736,0,0.9999135335286459,589.565913272517,0.04,18298.91029625066,15.283963492573804,94371,0,498,611,812,0.04012052803390644,sparse
2.0,True,1.201862110344394,0,0.013418034359263814,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.3182527049402104,0,0.017464298839952135,1536,0.35521865608028835,61,0.9999135335286459,589.565913272517,0.04,18298.91029625066,15.283963492573804,93696,0,498,611,812,0.04012052803390644,channel_out
4.0,True,1.2682990690340306,0,0.014940078228473359,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.387830609389635,0,0.01981605017248892,1536,0.547678583824943,0,0.9999372694227431,621.3558062564066,0.0,26887.70597895309,22.806040365447945,0,0,537,671,914,0.042243731711074935,none
4.0,True,1.2682990690340306,0,0.014940078228473359,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.387830609389635,0,0.01981605017248892,1536,0.547678583824943,0,0.9999372694227431,621.3558062564066,0.01,26887.70597895309,22.806040365447945,0,0,537,671,914,0.042243731711074935,none
4.0,True,1.2682990690340306,0,0.014940078228473359,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.387830609389635,0,0.01981605017248892,1536,0.5392724303008744,0,0.9999372694227431,621.3558062564066,0.01,26887.70597895309,22.806040365447945,21504,7,537,671,914,0.042243731711074935,low_rank
4.0,True,1.2682990690340306,0,0.014940078228473359,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.387830609389635,0,0.01981605017248892,1536,0.5176328667011413,0,0.9999372694227431,621.3558062564066,0.01,26887.70597895309,22.806040365447945,23592,0,537,671,914,0.042243731711074935,sparse
4.0,True,1.2682990690340306,0,0.014940078228473359,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.387830609389635,0,0.01981605017248892,1536,0.5425473285613697,15,0.9999372694227431,621.3558062564066,0.01,26887.70597895309,22.806040365447945,23040,0,537,671,914,0.042243731711074935,channel_out
4.0,True,1.2682990690340306,0,0.014940078228473359,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.387830609389635,0,0.01981605017248892,1536,0.547678583824943,0,0.9999372694227431,621.3558062564066,0.02,26887.70597895309,22.806040365447945,0,0,537,671,914,0.042243731711074935,none
4.0,True,1.2682990690340306,0,0.014940078228473359,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.387830609389635,0,0.01981605017248892,1536,0.5299256607810223,0,0.9999372694227431,621.3558062564066,0.02,26887.70597895309,22.806040365447945,46080,15,537,671,914,0.042243731711074935,low_rank
4.0,True,1.2682990690340306,0,0.014940078228473359,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.387830609389635,0,0.01981605017248892,1536,0.4969245332568836,0,0.9999372694227431,621.3558062564066,0.02,26887.70597895309,22.806040365447945,47185,0,537,671,914,0.042243731711074935,sparse
4.0,True,1.2682990690340306,0,0.014940078228473359,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.387830609389635,0,0.01981605017248892,1536,0.537802934035496,30,0.9999372694227431,621.3558062564066,0.02,26887.70597895309,22.806040365447945,46080,0,537,671,914,0.042243731711074935,channel_out
4.0,True,1.2682990690340306,0,0.014940078228473359,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.387830609389635,0,0.01981605017248892,1536,0.547678583824943,0,0.9999372694227431,621.3558062564066,0.04,26887.70597895309,22.806040365447945,0,0,537,671,914,0.042243731711074935,none
4.0,True,1.2682990690340306,0,0.014940078228473359,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.387830609389635,0,0.01981605017248892,1536,0.5130478761470358,0,0.9999372694227431,621.3558062564066,0.04,26887.70597895309,22.806040365447945,92160,30,537,671,914,0.042243731711074935,low_rank
4.0,True,1.2682990690340306,0,0.014940078228473359,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.387830609389635,0,0.01981605017248892,1536,0.4635105997306208,0,0.9999372694227431,621.3558062564066,0.04,26887.70597895309,22.806040365447945,94371,0,537,671,914,0.042243731711074935,sparse
4.0,True,1.2682990690340306,0,0.014940078228473359,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.387830609389635,0,0.01981605017248892,1536,0.5284326431634786,61,0.9999372694227431,621.3558062564066,0.04,26887.70597895309,22.806040365447945,93696,0,537,671,914,0.042243731711074935,channel_out
8.0,True,1.3937278039203076,0,0.015894044527567805,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.606106659058368,0,0.02361727834684519,1536,0.6911681482216684,0,0.9999436272515191,595.7412932481164,0.0,33545.23692546749,28.781130307520286,0,0,533,679,949,0.04431650669017973,none
8.0,True,1.3937278039203076,0,0.015894044527567805,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.606106659058368,0,0.02361727834684519,1536,0.6911681482216684,0,0.9999436272515191,595.7412932481164,0.01,33545.23692546749,28.781130307520286,0,0,533,679,949,0.04431650669017973,none
8.0,True,1.3937278039203076,0,0.015894044527567805,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.606106659058368,0,0.02361727834684519,1536,0.6781813492045126,0,0.9999436272515191,595.7412932481164,0.01,33545.23692546749,28.781130307520286,21504,7,533,679,949,0.04431650669017973,low_rank
8.0,True,1.3937278039203076,0,0.015894044527567805,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.606106659058368,0,0.02361727834684519,1536,0.650153677098505,0,0.9999436272515191,595.7412932481164,0.01,33545.23692546749,28.781130307520286,23592,0,533,679,949,0.04431650669017973,sparse
8.0,True,1.3937278039203076,0,0.015894044527567805,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.606106659058368,0,0.02361727834684519,1536,0.6834268443672028,15,0.9999436272515191,595.7412932481164,0.01,33545.23692546749,28.781130307520286,23040,0,533,679,949,0.04431650669017973,channel_out
8.0,True,1.3937278039203076,0,0.015894044527567805,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.606106659058368,0,0.02361727834684519,1536,0.6911681482216684,0,0.9999436272515191,595.7412932481164,0.02,33545.23692546749,28.781130307520286,0,0,533,679,949,0.04431650669017973,none
8.0,True,1.3937278039203076,0,0.015894044527567805,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.606106659058368,0,0.02361727834684519,1536,0.6639723728390297,0,0.9999436272515191,595.7412932481164,0.02,33545.23692546749,28.781130307520286,46080,15,533,679,949,0.04431650669017973,low_rank
8.0,True,1.3937278039203076,0,0.015894044527567805,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.606106659058368,0,0.02361727834684519,1536,0.6226841175085304,0,0.9999436272515191,595.7412932481164,0.02,33545.23692546749,28.781130307520286,47185,0,533,679,949,0.04431650669017973,sparse
8.0,True,1.3937278039203076,0,0.015894044527567805,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.606106659058368,0,0.02361727834684519,1536,0.6765085569485425,30,0.9999436272515191,595.7412932481164,0.02,33545.23692546749,28.781130307520286,46080,0,533,679,949,0.04431650669017973,channel_out
8.0,True,1.3937278039203076,0,0.015894044527567805,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.606106659058368,0,0.02361727834684519,1536,0.6911681482216684,0,0.9999436272515191,595.7412932481164,0.04,33545.23692546749,28.781130307520286,0,0,533,679,949,0.04431650669017973,none
8.0,True,1.3937278039203076,0,0.015894044527567805,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.606106659058368,0,0.02361727834684519,1536,0.6388923735778926,0,0.9999436272515191,595.7412932481164,0.04,33545.23692546749,28.781130307520286,92160,30,533,679,949,0.04431650669017973,low_rank
8.0,True,1.3937278039203076,0,0.015894044527567805,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.606106659058368,0,0.02361727834684519,1536,0.5788958907995522,0,0.9999436272515191,595.7412932481164,0.04,33545.23692546749,28.781130307520286,94371,0,533,679,949,0.04431650669017973,sparse
8.0,True,1.3937278039203076,0,0.015894044527567805,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.606106659058368,0,0.02361727834684519,1536,0.6627650515445016,61,0.9999436272515191,595.7412932481164,0.04,33545.23692546749,28.781130307520286,93696,0,533,679,949,0.04431650669017973,channel_out
16.0,True,1.411720900903479,0,0.01665116672569531,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.8043510721871134,0,0.028680704661133656,1536,0.804162737759565,0,0.9999537997775607,545.2777722416188,0.0,38660.02985554231,33.48637029069522,0,0,513,666,953,0.046544531946602304,none
16.0,True,1.411720900903479,0,0.01665116672569531,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.8043510721871134,0,0.028680704661133656,1536,0.804162737759565,0,0.9999537997775607,545.2777722416188,0.01,38660.02985554231,33.48637029069522,0,0,513,666,953,0.046544531946602304,none
16.0,True,1.411720900903479,0,0.01665116672569531,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.8043510721871134,0,0.028680704661133656,1536,0.7832536923181029,0,0.9999537997775607,545.2777722416188,0.01,38660.02985554231,33.48637029069522,21504,7,513,666,953,0.046544531946602304,low_rank
16.0,True,1.411720900903479,0,0.01665116672569531,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.8043510721871134,0,0.028680704661133656,1536,0.7521276160396954,0,0.9999537997775607,545.2777722416188,0.01,38660.02985554231,33.48637029069522,23592,0,513,666,953,0.046544531946602304,sparse
16.0,True,1.411720900903479,0,0.01665116672569531,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.8043510721871134,0,0.028680704661133656,1536,0.7932348615306687,15,0.9999537997775607,545.2777722416188,0.01,38660.02985554231,33.48637029069522,23040,0,513,666,953,0.046544531946602304,channel_out
16.0,True,1.411720900903479,0,0.01665116672569531,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.8043510721871134,0,0.028680704661133656,1536,0.804162737759565,0,0.9999537997775607,545.2777722416188,0.02,38660.02985554231,33.48637029069522,0,0,513,666,953,0.046544531946602304,none
16.0,True,1.411720900903479,0,0.01665116672569531,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.8043510721871134,0,0.028680704661133656,1536,0.7619665744762992,0,0.9999537997775607,545.2777722416188,0.02,38660.02985554231,33.48637029069522,46080,15,513,666,953,0.046544531946602304,low_rank
16.0,True,1.411720900903479,0,0.01665116672569531,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.8043510721871134,0,0.028680704661133656,1536,0.718763954202015,0,0.9999537997775607,545.2777722416188,0.02,38660.02985554231,33.48637029069522,47185,0,513,666,953,0.046544531946602304,sparse
16.0,True,1.411720900903479,0,0.01665116672569531,1536,19,q_proj,model.layers.19.self_attn.q_proj,1.8043510721871134,0,0.028680704661133656,1536,0.7832129644430772,30,0.9999537997775607,545.2777722416188,0.02,38660.02985554231,33.48637029069522,46080,0,513,666,953,0.046544531946602304,channel_out
