batch_index,nll,nll_sum,perplexity,sequence_index,strategy,tokens,window_index
10,4.373398187592274,555.4215698242188,79.31269369069402,0,Q+S,127,10
11,4.671531857468012,593.2845458984375,106.86131341774755,0,Q+S,127,11
12,4.324863704170768,549.2576904296875,75.55521429733152,0,Q+S,127,12
13,4.431636299673967,562.8178100585938,84.06886628390917,0,Q+S,127,13
14,4.241142212875246,538.6250610351562,69.48717567449769,0,Q+S,127,14
15,4.459954209215059,566.4141845703125,86.48354885607225,0,Q+S,127,15
0,4.00362678587906,508.4606018066406,54.79652534765662,0,Q+S_OBS,127,0
1,3.634259321558194,461.5509338378906,37.87379020579492,0,Q+S_OBS,127,1
2,4.2407082384965555,538.5699462890625,69.45702656305151,0,Q+S_OBS,127,2
3,4.553211122047244,578.2578125,94.93677294209733,0,Q+S_OBS,127,3
4,4.6306147537832185,588.0880737304688,102.57710439437965,0,Q+S_OBS,127,4
5,4.310145100270669,547.388427734375,74.45129105911569,0,Q+S_OBS,127,5
6,4.460318017193652,566.4603881835938,86.51501798517612,0,Q+S_OBS,127,6
7,4.152411032849409,527.356201171875,63.587126278317925,0,Q+S_OBS,127,7
8,5.113860363096703,649.4602661132812,166.31113863111892,0,Q+S_OBS,127,8
9,4.396457461860236,558.35009765625,81.16283634017718,0,Q+S_OBS,127,9
10,4.360220841535433,553.748046875,78.27441875728806,0,Q+S_OBS,127,10
11,4.613489826833169,585.9132080078125,100.83543452328921,0,Q+S_OBS,127,11
12,4.325099194143701,549.28759765625,75.57300888784295,0,Q+S_OBS,127,12
13,4.3837136095903055,556.7316284179688,80.13507189272813,0,Q+S_OBS,127,13
14,4.20939864511565,534.5936279296875,67.3160468024631,0,Q+S_OBS,127,14
15,4.424582654096949,561.9219970703125,83.47796076611341,0,Q+S_OBS,127,15
0,3.97104050043061,504.3221435546875,53.03968995839745,0,Q+L,127,0
1,3.649328276867003,463.4646911621094,38.44883040398431,0,Q+L,127,1
2,4.225726270300197,536.667236328125,68.42417995684258,0,Q+L,127,2
3,4.5562989242433565,578.6499633789062,95.23037197266825,0,Q+L,127,3
4,4.598352627491388,583.9907836914062,99.32056283327799,0,Q+L,127,4
5,4.276594026820866,543.12744140625,71.9948095490441,0,Q+L,127,5
6,4.456978865495817,566.0363159179688,86.22661299795871,0,Q+L,127,6
7,4.154017651174951,527.5602416992188,63.68936863089133,0,Q+L,127,7
8,5.13391449695497,652.0071411132812,169.6800316790118,0,Q+L,127,8
9,4.38715897207185,557.169189453125,80.41164243217692,0,Q+L,127,9
10,4.401721864234744,559.0186767578125,81.59123681537966,0,Q+L,127,10
11,4.597258800596703,583.8518676757812,99.21198272520286,0,Q+L,127,11
12,4.2908450149175685,544.9373168945312,73.02815231219773,0,Q+L,127,12
13,4.3797463244340555,556.227783203125,79.81778301539971,0,Q+L,127,13
14,4.199281707523376,533.3087768554688,66.63844795013547,0,Q+L,127,14
15,4.452423335999016,565.457763671875,85.8346984858756,0,Q+L,127,15
0,3.977992260549951,505.20501708984375,53.40969375852767,0,Q+S+L_QL_budget,127,0
1,3.6376748873492866,461.9847106933594,38.003371799253884,0,Q+S+L_QL_budget,127,1
2,4.219965897207185,535.9356689453125,68.03116419716152,0,Q+S+L_QL_budget,127,2
3,4.552234078955463,578.1337280273438,94.8440609231324,0,Q+S+L_QL_budget,127,3
4,4.595331146961122,583.6070556640625,99.02092059597663,0,Q+S+L_QL_budget,127,4
5,4.273780642531988,542.7701416015625,71.79254514014559,0,Q+S+L_QL_budget,127,5
6,4.459156426857776,566.3128662109375,86.41458132079896,0,Q+S+L_QL_budget,127,6
7,4.1534409410371556,527.4869995117188,63.65264891566585,0,Q+S+L_QL_budget,127,7
8,5.146064818374754,653.5502319335938,171.75427444220605,0,Q+S+L_QL_budget,127,8
9,4.37529219980315,555.662109375,79.46305524938666,0,Q+S+L_QL_budget,127,9
10,4.388827586737205,557.381103515625,80.54593048435322,0,Q+S+L_QL_budget,127,10
11,4.604640209768701,584.789306640625,99.94701641932,0,Q+S+L_QL_budget,127,11
12,4.3006957046628935,546.1883544921875,73.75108482939721,0,Q+S+L_QL_budget,127,12
13,4.375016820712353,555.6271362304688,79.44117579819006,0,Q+S+L_QL_budget,127,13
14,4.192629836675689,532.4639892578125,66.19664862594098,0,Q+S+L_QL_budget,127,14
15,4.434459776390256,563.1763916015625,84.30656818540506,0,Q+S+L_QL_budget,127,15
0,3.9782359205831694,505.2359619140625,53.42270915188426,0,Q+S+L_QL_budget_component_scale,127,0
1,3.6334185262364667,461.44415283203125,37.84195948361015,0,Q+S+L_QL_budget_component_scale,127,1
2,4.2153916246309056,535.354736328125,67.72068176545534,0,Q+S+L_QL_budget_component_scale,127,2
3,4.552422951525591,578.15771484375,94.86197605646569,0,Q+S+L_QL_budget_component_scale,127,3
4,4.605868602362205,584.9453125,100.06986603236186,0,Q+S+L_QL_budget_component_scale,127,4
5,4.269193393977608,542.1875610351562,71.46396909740591,0,Q+S+L_QL_budget_component_scale,127,5
6,4.452181117741142,565.427001953125,85.81391027248726,0,Q+S+L_QL_budget_component_scale,127,6
7,4.1513657457246556,527.2234497070312,63.52069420026582,0,Q+S+L_QL_budget_component_scale,127,7
8,5.140169398991142,652.801513671875,170.7446898498182,0,Q+S+L_QL_budget_component_scale,127,8
9,4.375504621370571,555.6890869140625,79.4799367090644,0,Q+S+L_QL_budget_component_scale,127,9
10,4.38382126214936,556.7453002929688,80.1436991026497,0,Q+S+L_QL_budget_component_scale,127,10
11,4.604901651697834,584.822509765625,99.97315017618483,0,Q+S+L_QL_budget_component_scale,127,11
12,4.300799031895916,546.2014770507812,73.75870571864094,0,Q+S+L_QL_budget_component_scale,127,12
13,4.371078371062992,555.126953125,79.12891604052109,0,Q+S+L_QL_budget_component_scale,127,13
14,4.1918570450910435,532.3658447265625,66.14551217440575,0,Q+S+L_QL_budget_component_scale,127,14
15,4.438591423935778,563.7011108398438,84.65561378107691,0,Q+S+L_QL_budget_component_scale,127,15
0,3.9771372877706694,505.096435546875,53.36404943932001,0,Q+S+L,127,0
1,3.6354557547982282,461.702880859375,37.91913078540292,0,Q+S+L,127,1
2,4.217691256305364,535.6467895507812,67.8765935914367,0,Q+S+L,127,2
3,4.547834741787647,577.5750122070312,94.42772639024288,0,Q+S+L,127,3
4,4.5991345503198815,584.090087890625,99.39825421907182,0,Q+S+L,127,4
5,4.28007735605315,543.56982421875,72.24602845878964,0,Q+S+L,127,5
6,4.462745486281988,566.7686767578125,86.72528562285532,0,Q+S+L,127,6
7,4.156649371770423,527.8944702148438,63.85720200243295,0,Q+S+L,127,7
8,5.143528254952018,653.2280883789062,171.31916091178928,0,Q+S+L,127,8
9,4.379917895700049,556.2495727539062,79.8314786283337,0,Q+S+L,127,9
10,4.386457308070866,557.080078125,80.3552402674206,0,Q+S+L,127,10
11,4.599949633981299,584.193603515625,99.47930513921233,0,Q+S+L,127,11
12,4.300423209122785,546.1537475585938,73.73099072560423,0,Q+S+L,127,12
13,4.377980630228839,556.0035400390625,79.6769735682518,0,Q+S+L,127,13
14,4.194116787647638,532.65283203125,66.29515301440355,0,Q+S+L,127,14
15,4.433988315852608,563.1165161132812,84.26683033359173,0,Q+S+L,127,15
0,3.9735465462752213,504.6404113769531,53.172776543907865,0,Q+S_OBS+L,127,0
1,3.6295029046967273,460.9468688964844,37.69407441188522,0,Q+S_OBS+L,127,1
2,4.22710845226378,536.8427734375,68.518820014075,0,Q+S_OBS+L,127,2
3,4.554586095134105,578.4324340820312,95.0673982323959,0,Q+S_OBS+L,127,3
4,4.605475958876722,584.8954467773438,100.03058196419258,0,Q+S_OBS+L,127,4
5,4.2797246016855315,543.5250244140625,72.22054785116974,0,Q+S_OBS+L,127,5
6,4.4575810469980315,566.11279296875,86.27855270630097,0,Q+S_OBS+L,127,6
7,4.153694212906004,527.5191650390625,63.66877238273799,0,Q+S_OBS+L,127,7
8,5.146340197465551,653.585205078125,171.80157849111654,0,Q+S_OBS+L,127,8
9,4.378578966996801,556.0795288085938,79.72466149639531,0,Q+S_OBS+L,127,9
10,4.3895393431656,557.4714965820312,80.60327997516984,0,Q+S_OBS+L,127,10
11,4.609248123769685,585.37451171875,100.40862638837976,0,Q+S_OBS+L,127,11
12,4.28922974593996,544.732177734375,72.91028742065393,0,Q+S_OBS+L,127,12
13,4.377934493417815,555.9976806640625,79.67329761157842,0,Q+S_OBS+L,127,13
14,4.188876895453986,531.9873657226562,65.94868208753762,0,Q+S_OBS+L,127,14
15,4.427471491295521,562.2888793945312,83.71946366776567,0,Q+S_OBS+L,127,15
0,3.9774210772176426,505.1324768066406,53.37919574247749,0,Q+S+L_component_scale,127,0
1,3.6313688022883857,461.183837890625,37.76447335273231,0,Q+S+L_component_scale,127,1
2,4.213286632627953,535.08740234375,67.57828020156282,0,Q+S+L_component_scale,127,2
3,4.548158660648376,577.6161499023438,94.45831826617173,0,Q+S+L_component_scale,127,3
4,4.609493225578248,585.4056396484375,100.43323974056821,0,Q+S+L_component_scale,127,4
5,4.275561715674213,542.996337890625,71.92052685266992,0,Q+S+L_component_scale,127,5
6,4.45567886472687,565.8712158203125,86.1145911647688,0,Q+S+L_component_scale,127,6
7,4.1552268200971945,527.7138061523438,63.766426414667016,0,Q+S+L_component_scale,127,7
8,5.138070174089567,652.534912109375,170.38663429612927,0,Q+S+L_component_scale,127,8
9,4.379850132258858,556.240966796875,79.8260691559108,0,Q+S+L_component_scale,127,9
10,4.381624477116142,556.46630859375,79.96783386374173,0,Q+S+L_component_scale,127,10
11,4.600125049981545,584.2158813476562,99.4967569316442,0,Q+S+L_component_scale,127,11
12,4.300601989265502,546.1764526367188,73.74417354102648,0,Q+S+L_component_scale,127,12
13,4.374018631582185,555.5003662109375,79.36191804371599,0,Q+S+L_component_scale,127,13
14,4.193559301181103,532.58203125,66.25820466386077,0,Q+S+L_component_scale,127,14
15,4.438151682455708,563.645263671875,84.61839538001377,0,Q+S+L_component_scale,127,15
